Brew_ID,Name,City,State,
219,Laughing Dog Brewing Company,Ponderay, ID,1
346,Lavery Brewing Company,Erie, PA,1
407,Lazy Monk Brewing,Eau Claire, WI,1
538,Lewis and Clark Brewing Company,Helena, MT,1
245,Lift Bridge Brewing Company,Stillwater, MN,1
299,Liquid Hero Brewery,York, PA,1
105,Lone Tree Brewing Company,Lone Tree, CO,1
150,Lonerider Brewing Company,Raleigh, NC,1
269,Long Trail Brewing Company,Bridgewater Corners, VT,1
42,Lost Nation Brewing,East Fairfield, VT,1
431,Lost Rhino Brewing Company,Ashburn, VA,1
246,Lucky Town Brewing Company,Jackson, MS,1
159,Lumberyard Brewing Company,Flagstaff, AZ,1
401,Macon Beer Company,Macon, GA,1
486,MacTarnahans Brewing Company,Portland, OR,1
92,Madtree Brewing Company,Cincinnati, OH,1
304,Magic Hat Brewing Company,South Burlington, VT,1
535,Mammoth Brewing Company,Mammoth Lakes, CA,1
357,Manayunk Brewing Company,Philadelphia, PA,1
347,Manzanita Brewing Company,Santee, CA,1
444,Marble Brewery,Albuquerque, NM,1
318,Marshall Wharf Brewing Company,Belfast, ME,1
162,Martin House Brewing Company,Fort Worth, TX,1
300,Matt Brewing Company,Utica, NY,1
376,Maui Brewing Company,Lahaina, HI,1
449,Mavericks Beer Company,Half Moon Bay, CA,1
255,Meckley's Cidery,Somerset Center, MI,1
204,Mehana Brewing Co.,Hilo, HI,1
394,Miami Brewing Company,Miami, FL,1
553,Mickey Finn's Brewery,Libertyville, IL,1
224,Midnight Sun Brewing Company,Anchorage, AK,1
4,Mike Hess Brewing Company,San Diego, CA,1
66,Mikerphone Brewing,Chicago, IL,1
364,Mikkeller,Pottstown, PA,1
441,MillKing It Productions,Royal Oak, MI,1
285,Milwaukee Brewing Company,Milwaukee, WI,1
135,Minhas Craft Brewery,Monroe, WI,1
99,Mission Brewery,San Diego, CA,1
400,Moab Brewery,Moab, UT,1
548,Moat Mountain Smoke House & Brew...,North Conway, NH,1
190,Modern Monks Brewery,Lincoln, NE,1
210,Modern Times Beer,San Diego, CA,1
550,Mogollon Brewing Company,Flagstaff, AZ,1
515,Monkey Paw Pub & Brewery,San Diego, CA,1
277,Montauk Brewing Company,Montauk, NY,1
327,Morgan Street Brewery,Saint Louis, MO,1
112,Mother Earth Brew Company,Vista, CA,1
541,Mother Earth Brewing Company,Kinston, NC,1
189,Mother's Brewing,Springfield, MO,1
261,Mountain Town Brewing Company ,Mount Pleasant, MI,1
508,Mudshark Brewing Company,Lake Havasu City, AZ,1
367,Mustang Brewing Company,Mustang, OK,1
144,Narragansett Brewing Company,Providence, RI,1
388,Natian Brewery,Portland, OR,1
338,Nebraska Brewing Company,Papillion, NE,1
326,Neshaminy Creek Brewing Company,Croydon, PA,1
83,New Belgium Brewing Company,Fort Collins, CO,1
411,New England Brewing Company,Woodbridge, CT,1
175,New Orleans Lager & Ale Brewing ...,New Orleans, LA,1
242,New Republic Brewing Company,College Station, TX,1
519,New South Brewing Company,Myrtle Beach, SC,1
239,Newburgh Brewing Company,Newburgh, NY,1
496,Newburyport Brewing Company,Newburyport, MA,1
306,Night Shift Brewing,Everett, MA,1
360,NoDa Brewing Company,Charlotte, NC,1
432,North Country Brewing Company,Slippery Rock, PA,1
294,Northampton Brewery,Northamtpon, MA,1
1,NorthGate Brewing ,Minneapolis, MN,1
451,Northwest Brewing Company,Pacific, WA,1
530,Northwoods Brewpub,Eau Claire, WI,1
272,Notch Brewing Company,Ipswich, MA,1
151,Oakshire Brewing,Eugene, OR,1
185,Oasis Texas Brewing Company,Austin, TX,1
201,Occidental Brewing Company,Portland, OR,1
149,Odyssey Beerwerks,Arvada, CO,1
443,O'Fallon Brewery,O'Fallon, MO,1
472,Okoboji Brewing Company,Spirit Lake, IA,1
302,Old Forge Brewing Company,Danville, PA,1
391,Orlison Brewing Company,Airway Heights, WA,1
217,Orpheus Brewing,Atlanta, GA,1
390,Oskar Blues Brewery (North Carol...,Brevard, NC,1
